id,year,study,r1,n1,r2,n2,design,t1,t2,y,stderr,contrast
1,2015,AVERT 2015,54,116,75,119,E G,E,G,0.671448818,0.265910054,G - E
2,2009,AGREE 2009,107,253,147,256,E F,E,F,0.609862492,0.179365946,F - E
3,2014,HOPEFUL-I 2014,63,163,110,171,E H,E,H,1.051641961,0.22662164,H - E
4,2013,HITHARD 2013,41,85,56,87,E H,E,H,0.661982053,0.311821622,H - E
5,2013,OPTIMA 2013,176,517,268,515,E H,E,H,0.742997126,0.128040212,H - E
6,2008,Bejarano 2008,33,73,42,75,E H,E,H,0.433533949,0.330780266,H - E
7,2006,PREMIER 2006,111,257,158,268,E H,E,H,0.636191088,0.176856855,H - E
8,2015,C-EARLY 2015,112,217,405,659,E I,E,I,0.402014279,0.157665864,I - E
9,2013,Takeuchi 2013b,113,182,65,176,B E,B,E,-1.028424246,0.21848555,E - B
10,2008,COMET 2008,119,263,181,265,E K,E,K,0.958370039,0.18104538,K - E
11,2004,TEMPO 2004,107,223,98,228,B E K,B,E,-0.201805615,0.189374954,E - B
11,2004,TEMPO 2004,107,223,159,231,B E K,B,K,0.87299944,0.195306634,K - B
11,2004,TEMPO 2004,98,228,159,231,B E K,E,K,1.074805055,0.195127103,K - E
12,2000,ERA 2000,101,207,93,217,B E,B,E,-0.239363495,0.195325771,E - B
13,2013,GOBEFORE 2013,57,160,67,158,E L,E,L,0.285510833,0.230579664,L - E
14,2007,Durez 2007,5,14,10,15,E N,E,N,1.280933845,0.78173596,N - E
15,2005,Quinn 2005,4,10,8,10,E N,E,N,1.791759469,1.020620726,N - E
16,2004,ASPIRE 2004,88,298,160,373,E N,E,N,0.583652366,0.164530778,N - E
17,2012,IMAGE 2012,102,249,156,250,E O,E,O,0.872020998,0.183453528,O - E
18,2013,FUNCTION 2013,117,287,151,288,E Q R U,E,Q,0.470923413,0.168377992,Q - E
18,2013,FUNCTION 2013,117,287,162,290,E Q R U,E,R,0.609190574,0.168566607,R - E
18,2013,FUNCTION 2013,117,287,144,292,E Q R U,E,U,0.346225528,0.167721682,U - E
18,2013,FUNCTION 2013,151,288,162,290,E Q R U,Q,R,0.13826716,0.167054261,R - Q
18,2013,FUNCTION 2013,151,288,144,292,E Q R U,Q,U,-0.124697885,0.166201648,U - Q
18,2013,FUNCTION 2013,162,290,144,292,E Q R U,R,U,-0.262965046,0.16639273,U - R
19,2010,AMBITION 2010,95,284,126,286,E U,E,U,0.448978215,0.173216134,U - E
20,2014,Conaghan 2014,11,37,20,36,E S,E,S,1.083344817,0.491803446,S - E
21,2012,TEAR 2012,91,244,41,132,K V,K,V,-0.277709025,0.23000916,V - K
22,2006,CIMESTRA 2006,42,80,54,80,E J,E,J,0.63080405,0.327269568,J - E
23,2005,Sarzi-Puttini 2005,6,35,19,32,A J,A,J,1.955025982,0.575068762,J - A
24,2003,Gerards 2003,15,60,29,60,A J,A,J,1.031920914,0.394499318,J - A
25,2003,Marchesoni 2003,13,31,15,30,C D,C,D,0.3254224,0.515569555,D - C
26,2007,MASCOT 2007,4,54,6,56,E P T,E,P,0.405465108,0.675771164,P - E
26,2007,MASCOT 2007,4,54,3,55,E P T,E,T,-0.326902786,0.789027314,T - E
26,2007,MASCOT 2007,6,56,3,55,E P T,P,T,-0.732367894,0.734323341,T - P
27,2002,Odell 2002,10,25,11,24,M P V,M,P,0.238411023,0.578358742,P - M
27,2002,Odell 2002,10,25,20,30,M P V,M,V,1.098612289,0.562731434,V - M
27,2002,Odell 2002,11,24,20,30,M P V,P,V,0.860201265,0.563766058,V - P
28,2002,Ferraccioli 2002,13,42,24,42,A E P,A,E,1.090028545,0.456758205,E - A
28,2002,Ferraccioli 2002,13,42,14,42,A E P,A,P,0.109199292,0.467491917,P - A
28,2002,Ferraccioli 2002,24,42,14,42,A E P,E,P,-0.980829253,0.452067561,P - E
29,2008,Braun 2008,117,193,110,190,C E,C,E,-0.112986863,0.208076458,E - C
