year;study;id;t;r;n
2015;AVERT 2015;1;MTX;54;116
2015;AVERT 2015;1;MTX and ABAT(sc);75;119
2009;AGREE 2009;2;MTX;107;253
2009;AGREE 2009;2;MTX and ABAT(IV);147;256
2014;HOPEFUL-I 2014;3;MTX;63;163
2014;HOPEFUL-I 2014;3;MTX and ADA ;110;171
2013;HITHARD 2013;4;MTX;41;85
2013;HITHARD 2013;4;MTX and ADA ;56;87
2013;OPTIMA 2013;5;MTX;176;517
2013;OPTIMA 2013;5;MTX and ADA ;268;515
2008;Bejarano 2008;6;MTX;33;73
2008;Bejarano 2008;6;MTX and ADA ;42;75
2006;PREMIER 2006;7;MTX;111;257
2006;PREMIER 2006;7;MTX and ADA ;158;268
2015;C-EARLY 2015;8;MTX;112;217
2015;C-EARLY 2015;8;MTX and CTZ ;405;659
2013;Takeuchi 2013b;9;MTX;65;176
2013;Takeuchi 2013b;9;ETN;113;182
2008;COMET 2008;10;MTX;119;263
2008;COMET 2008;10;MTX and ETN;181;265
2004;TEMPO 2004;11;MTX;98;228
2004;TEMPO 2004;11;MTX and ETN;159;231
2004;TEMPO 2004;11;ETN;107;223
2000;ERA 2000;12;MTX;93;217
2000;ERA 2000;12;ETN;101;207
2013;GOBEFORE 2013;13;MTX;57;160
2013;GOBEFORE 2013;13;MTX and GOL;67;158
2007;Durez 2007;14;MTX;5;14
2007;Durez 2007;14;MTX and IFX ;10;15
2005;Quinn 2005;15;MTX;4;10
2005;Quinn 2005;15;MTX and IFX ;8;10
2004;ASPIRE 2004;16;MTX;88;298
2004;ASPIRE 2004;16;MTX and IFX ;160;373
2012;IMAGE 2012;17;MTX;102;249
2012;IMAGE 2012;17;MTX and RTX;156;250
2013;FUNCTION 2013;18;MTX;117;287
2013;FUNCTION 2013;18;MTX and TCZ 4 mg/kg;151;288
2013;FUNCTION 2013;18;MTX and TCZ 8 mg/kg ;162;290
2013;FUNCTION 2013;18;TCZ;144;292
2010;AMBITION 2010;19;MTX;95;284
2010;AMBITION 2010;19;TCZ;126;286
2014;Conaghan 2014;20;MTX;11;37
2014;Conaghan 2014;20;MTX and TOFA;20;36
2012;TEAR 2012;21;MTX and ETN;91;244
2012;TEAR 2012;21;triple;41;132
2006;CIMESTRA 2006;22;MTX;42;80
2006;CIMESTRA 2006;22;MTX and CyA;54;80
2005;Sarzi-Puttini 2005;23;MTX and CyA;19;32
2005;Sarzi-Puttini 2005;23;CyA;6;35
2003;Gerards 2003;24;MTX and CyA;29;60
2003;Gerards 2003;24;CyA;15;60
2003;Marchesoni 2003;25;IM/sc MTX;13;31
2003;Marchesoni 2003;25;IM/sc MTX and CyA;15;30
2007;MASCOT 2007;26;MTX;4;54
2007;MASCOT 2007;26;MTX and SSZ;6;56
2007;MASCOT 2007;26;SSZ;3;55
2002;Odell 2002;27;MTX and HCQ ;10;25
2002;Odell 2002;27;MTX and SSZ;11;24
2002;Odell 2002;27;triple;20;30
2002;Ferraccioli 2002;28;MTX;24;42
2002;Ferraccioli 2002;28;CyA;13;42
2002;Ferraccioli 2002;28;MTX and SSZ;14;42
2008;Braun 2008;29;MTX;110;190
2008;Braun 2008;29;IM/sc MTX;117;193
